aluno_exclusivo_rede_publica,aluno_id,companhia_domiciliar_id,ensino_fundamental_conclusao,ensino_medio_conclusao,escola_ensino_fundamental_id,escola_ensino_medio_id,estado_civil_id,ficou_tempo_sem_estudar,frequencia_acesso_internet_id,historico_caracterizacao_id,id,local_acesso_internet,mae_nivel_escolaridade_id,nome_escola_ensino_fundamental,nome_escola_ensino_medio,pai_nivel_escolaridade_id,possui_conhecimento_idiomas,possui_conhecimento_informatica,possui_necessidade_especial,qtd_filhos,qtd_pessoas_domicilio,quantidade_computadores,quantidade_netbooks,quantidade_notebooks,quantidade_smartphones,raca_id,razao_ausencia_educacional_id,renda_bruta_familiar,renda_per_capita,responsavel_financeir_trabalho_situacao_id,responsavel_financeiro_id,responsavel_financeiro_nivel_escolaridade_id,tempo_sem_estudar,tipo_area_residencial_id,tipo_imovel_residencial_id,tipo_servico_saude_id,trabalho_situacao_id
False,406920332777,11,0,1998.0,,1.0,6,1.0,1.0,20464.0,24040,casa,22,,Escola Estadual João Tiburcio,22,True,1.0,True,0.0,1,0.0,0.0,1.0,0.0,1,6.0,0.0,0.0,8,12,20,3.0,5,8,,8
True,472792739409,8,2007,2010.0,1.0,1.0,6,1.0,,50222.0,53457,,12,ESCOLA ESTADUAL PROFESSOR LUIZ CARLOS,ESCOLA ESTADUAL PROFESSORA MARIA RODRIGUES GONÇALVES,12,True,1.0,True,0.0,5,,,,,3,,1800.0,0.46,17,12,16,,5,8,,17
False,551334417849,10,1999,2003.0,4.0,4.0,7,0.0,1.0,76271.0,79424,Casa,17,Colégio Nossa Senhora dos Prazeres,PIO XII,16,False,1.0,False,2.0,4,0.0,0.0,1.0,2.0,1,,8000.0,2.27,17,12,19,,5,7,3.0,6
True,275917162625,7,1999,2002.0,2.0,1.0,6,0.0,,6357.0,10007,,19,,,17,False,1.0,False,0.0,5,,,,,3,,7000.0,2.25,10,10,17,,5,6,,6
False,471683062873,8,2000,2005.0,1.0,2.0,6,1.0,1.0,38387.0,41654,casa,15,escola estadual professora izabel ferreira,Izabel ferreira/colegio fenix,15,False,1.0,False,1.0,4,0.0,1.0,0.0,1.0,1,6.0,880.0,0.25,12,12,16,24.0,5,9,3.0,12
False,441323093525,7,0,2008.0,,1.0,6,1.0,1.0,23335.0,26793,Casa,13,,Escola Estadual Sebastião Gomes de Oliveira,12,True,1.0,True,0.0,4,1.0,0.0,0.0,0.0,1,10.0,350.0,0.14,7,10,12,2.0,6,6,,8
False,278250829109,8,1976,,1.0,1.0,6,0.0,1.0,63520.0,66688,trabalho,14,,,14,True,1.0,False,0.0,1,1.0,1.0,1.0,1.0,1,,2000.0,2.54,7,12,19,,5,6,1.0,7
False,472104070805,8,0,2008.0,,1.0,6,1.0,1.0,38662.0,41929,CASA,15,,ESCOLA ESTADUAL CRISTOVÃO COLOMBO DE QUEIROZ,15,True,1.0,False,0.0,5,1.0,0.0,0.0,0.0,1,11.0,800.0,0.2,18,11,15,0.0,5,6,,12
True,309533670149,7,1996,1999.0,2.0,1.0,6,1.0,,6832.0,10619,,16,,,15,True,1.0,False,0.0,4,,,,,1,10.0,2900.0,1.17,10,11,16,36.0,5,6,,6
False,338086929961,12,2000,2003.0,2.0,1.0,6,0.0,1.0,12881.0,16977,Trabalho,16,Escola Estadual Tiradentes,Escola Estadual Winston Churchill,16,True,1.0,False,1.0,2,0.0,0.0,1.0,0.0,1,,710.0,0.5700000000000001,17,12,18,,5,8,3.0,17
False,392218512741,12,0,2002.0,,3.0,6,1.0,1.0,14260.0,18245,Residência e Trabalho,15,,Instituto Reis Magos,22,True,1.0,True,1.0,2,1.0,0.0,0.0,1.0,7,11.0,0.0,0.0,12,12,19,0.0,5,8,,12
False,406198206589,7,0,1996.0,,4.0,8,1.0,1.0,20270.0,23846,Trabalho,15,,Ferro Cardoso,15,True,1.0,False,0.0,2,1.0,0.0,0.0,0.0,3,10.0,1444.8,1.16,10,11,15,0.0,5,6,,12
False,407578331929,8,0,2007.0,,1.0,6,1.0,1.0,20694.0,24258,DA MINHA CASA,16,,ESCOLA ESTADUAL JOAQUIM JOSE DE MEDEIROS,15,True,1.0,True,1.0,3,0.0,0.0,1.0,0.0,1,6.0,1000.0,0.54,10,14,12,0.0,5,6,,7
False,405367343253,10,0,2007.0,,3.0,6,1.0,1.0,19741.0,23339,Casa,18,,Centro Educacional Santo Agostinho,16,True,1.0,False,0.0,3,0.0,0.0,1.0,1.0,7,11.0,2096.0,1.12,10,18,16,0.0,5,7,,8
False,551953383153,7,2010,2013.0,1.0,1.0,6,0.0,1.0,76673.0,79825,Casa,14,ESCOLA ESTADUAL JOÃO VILAR DA CUNHA,,15,False,,False,0.0,3,0.0,0.0,1.0,1.0,3,,1900.0,0.72,17,12,16,,5,6,3.0,6
True,380686798789,10,2000,2003.0,1.0,1.0,7,1.0,,50167.0,53402,,14,Escola Estadual Maria de Lourdes Bezerra,Escola Estadual Professora Clara Teteo,12,True,1.0,True,0.0,2,,,,,2,,788.0,0.5,12,12,19,,5,7,,12
True,472324333233,10,1998,2010.0,2.0,1.0,7,1.0,,51031.0,54266,,16,CENTRO DE ESTUDOS SUPLETIVOS PROFESSOR FELIPE GUERRA,CEJA PROFESSORA LIA CAMPOS,16,True,1.0,True,0.0,2,,,,,1,,1400.0,0.89,6,13,19,,5,6,,8
False,407009553001,7,0,2008.0,,1.0,6,1.0,1.0,20562.0,24138,casa,16,,E.E.Professor Manoel João,15,True,1.0,False,0.0,4,0.0,0.0,1.0,0.0,1,10.0,1500.0,0.6000000000000001,17,10,15,0.0,5,8,,17
False,277534279185,10,0,1996.0,,1.0,8,1.0,1.0,48925.0,52163,CASA,15,,ESCOLA ESTADUAL WINSTON CHURCHILL,22,True,1.0,False,0.0,2,0.0,1.0,0.0,1.0,1,6.0,1020.8,0.65,12,12,18,4.0,5,9,,12
True,476921962901,11,2011,2014.0,1.0,3.0,9,1.0,,51058.0,54293,,13,Valter Pereira,O Matemático,13,True,1.0,True,1.0,2,,,,,3,,1.0,0.0,10,12,13,,5,6,,8
False,414219662353,7,0,2009.0,,1.0,6,1.0,1.0,24394.0,27852,Residência,15,,Escola Estadual Professor Adrião Melo,12,True,1.0,False,0.0,4,0.0,0.0,1.0,0.0,3,11.0,1448.0,0.58,10,10,12,0.0,6,6,,8
True,471758342437,14,2004,2007.0,2.0,3.0,6,1.0,,50885.0,54120,,17,,,15,True,1.0,True,0.0,2,,,,,1,,900.0,0.5700000000000001,16,11,17,,5,6,,8
False,462549142441,10,0,0.0,,,9,,,37285.0,40577,,17,,,17,True,1.0,False,1.0,3,0.0,0.0,0.0,0.0,1,,5000.0,2.68,12,12,19,0.0,9,6,,18
False,441554508481,10,0,2005.0,,1.0,7,1.0,1.0,23391.0,26849,casa,12,,escola estadual juscelino kubitschek,12,True,1.0,True,0.0,2,1.0,0.0,1.0,1.0,1,11.0,2700.0,2.17,17,12,16,5.0,5,7,,17
True,476949844221,10,1990,2003.0,1.0,1.0,7,1.0,,50011.0,53246,,12,E. E. Interventor Ubaldo Bezerra de Melo,E. E. profº Otto de Brito Guerraaa,16,True,1.0,True,2.0,4,,,,,3,,3668.0,1.16,12,13,16,,5,6,,17
False,407132230809,10,0,2008.0,,1.0,6,1.0,1.0,20361.0,23937,TRABALHO,12,,ESCOLA MUNICPAL PROFESSOR FREITAS,22,True,1.0,False,0.0,2,1.0,0.0,0.0,0.0,1,10.0,626.0,0.5,12,12,16,1.0,5,6,,12
