ch_hora_relogio,descricao_historico,pk
60,Análise e Elaboração de Materiais de E/LE,1631
80,Análise e Elaboração de Materiais de E/LE,4291
30,Arte e Educação,4288
40,Arte e Educação,4404
40,Arte e Educação,4292
45,Arte e Educação,1632
60,Atividades de Metodologia do Ensino de ELE I,1614
60,Atividades de Metodologia do Ensino de ELE II,1615
60,Circuitos Elétricos I(60H),2054
60,Controle Ambiental(60H),2986
60,Controle Ambiental(60H),3007
60,Cultura Espanhola,2019
80,Cultura Espanhola,4293
60,Cultura Hispano-Americana,2020
80,Cultura Hispano-americana,4294
60,Cultura Hispânica I,1633
60,Cultura Hispânica II,1634
45,Cultura Hispânica II,1905
30,Desenho Técnico(30H),2051
60,Desenho Técnico(60H),2970
60,Desenho Técnico(60H),2990
60,Desenvolvimento de Pesquisa Acadêmico-Científica I,1616
60,Desenvolvimento de Pesquisa Acadêmico-Científica II,1617
60,Desenvolvimento de Projeto Integrador,1969
80,Desenvolvimento de Projetos Integradores I,1612
80,Desenvolvimento de Projetos Integradores II,1613
340,Desenvolvimento de Projetos de Pesquisa,4892
340,Desenvolvimento de Projetos de Pesquisa/Extensão com TCC,2069
80,Dialetologia do Espanhol,4295
60,Dialetologia do Espanhol,1635
90,Didática,4350
120,Didática,4296
90,Didática,1290
60,Direito Aplicado à Segurança e Saúde no Trabalho(60H),3002
60,Direito Aplicado à Segurança e Saúde no Trabalho(60H),2976
30,EAD: Fundamentos e Práticas Aplicados a Educação,1891
30,Educação Ambiental(30H),1332
60,Educação Inclusiva,4297
45,Educação Inclusiva,4365
30,Educação Inclusiva,1314
45,Educação Inclusiva(45H),5168
30,Eletricidade Básica(30H),2053
80,Ensino de Espanhol para Fins Específicos,4298
45,Ensino de Espanhol para Fins Específicos,1906
30,Ensino de Espanhol para Fins Específicos,1636
60,Ergonomia(60H),2977
60,Ergonomia(60H),2999
30,Estatística Aplicada à Segurança do Trabalho(30H),2965
30,Estatística Aplicada à Segurança do Trabalho(30H),2989
340,Estágio Curricular Supervisionado,1212
100,Estágio Docente Supervisionado I,1618
100,Estágio Docente Supervisionado II,1619
100,Estágio Docente Supervisionado III,1620
100,Estágio Docente Supervisionado IV,1621
340,Extensão com TCC,4893
340,Extensão com TCC,4909
30,Filosofia da Linguagem,1909
30,"Filosofia, Ciência e Tecnologia",1202
120,Fonética e Fonologia,4299
60,Fonética e Fonologia da Língua Espanhola I,2010
60,Fonética e Fonologia da Língua Espanhola II,2011
60,Fonética e Fonologia do Espanhol I,1638
45,Fonética e Fonologia do Espanhol II,1639
60,Fundamentos Históricos e Filosóficos da Educação,1279
60,Fundamentos Históricos e Filosóficos da Educação,4300
60,Fundamentos Sociopolíticos e Econômicos da Educação,1286
80,Fundamentos Sociopolíticos e Econômicos da Educação,4301
30,Fundamentos da Educação de Jovens e Adultos,1337
45,Fundamentos da Literatura,1640
60,Fundamentos da Literatura Ocidental,1831
20,Fundamentos e práticas na EAD(15H),2878
60,Gestão de Saúde e Segurança Ocupacional(60H),2979
60,Gestão de Saúde e Segurança Ocupacional(60H),3001
30,Gestão organizacional(30H),1215
60,Higiene Ocupacional(60H),2978
60,Higiene Ocupacional(60H),3000
60,História da Língua Espanhola,1641
80,História da Língua Espanhola,4302
30,Informática,1278
30,Informática Básica,1457
45,Informática(45H),1913
45,Inglês(45H),2968
30,Instrumentação em Higiene Ocupacional(30H),3004
30,Instrumentação em Higiene Ocupacional(30H),2983
60,Introdução ao Direito(60H),2972
60,Introdução ao Direito(60H),2994
60,Introdução à Segurança do Trabalho(60H),2993
60,Introdução à Segurança do Trabalho(60H),2971
30,LIBRAS,4304
60,Latim I,4289
45,Latim II,1911
80,Leitura e Produção de Textos,4303
60,Leitura e Produção de Textos Acadêmicos,1827
45,Leitura e Produção de Textos Acadêmicos,1889
30,Leitura e Produção de Textos Acadêmicos,1284
60,Libras I,1829
30,Libras I,1322
60,Libras II,1336
60,Linguística I,1650
60,Linguística II,1651
30,Linguística III,1652
45,Linguística III,1902
80,Lingüística I,4312
80,Lingüística II,4313
60,Literatura Espanhola I,1653
80,Literatura Espanhola I,4314
80,Literatura Espanhola II,4315
60,Literatura Espanhola II,1654
