ano_letivo__ano,curso_campus_id,id,periodo_letivo,situacao_id
2013,441,339185453969,2,9
2008,83,126029974437,2,9
2016,420,547871557905,2,1
2014,420,406265121757,1,6
2014,420,406786502441,1,6
2012,420,272933861385,1,9
2013,420,335549729841,1,3
2013,420,380095714805,2,6
2016,420,550846494749,2,1
2012,420,278030566681,1,6
2015,411,471409825937,2,1
2012,441,276474789025,1,10
2016,420,550152249881,2,1
2014,420,407232603561,1,3
2014,420,441688338817,2,9
2012,420,277849338101,1,9
2015,411,462200625941,1,1
2016,420,549089971589,2,1
2015,411,471471164841,2,9
2012,441,276379992537,1,9
2014,441,414200145429,2,9
2016,420,548024905165,2,1
2012,420,309670288617,2,6
2014,420,405860842617,1,9
2016,420,545164281733,2,1
2014,420,405841325693,1,6
2014,420,407374798293,1,3
2013,420,336344347461,1,9
2012,420,269002595265,1,9
2013,420,380631036149,2,3
2017,441,559551042853,1,1
2014,420,407726102925,1,9
2015,420,464924630905,1,9
2012,420,278744328473,1,9
2010,83,210039179729,2,19
2012,420,269953348277,1,9
2012,441,275917162625,1,10
2016,411,509509649717,1,9
2012,420,268983078341,1,9
2010,83,32900789373,2,10
2013,420,338164997657,1,9
2011,83,239955836089,2,4
2016,499,510031030401,1,9
2016,420,548431972437,2,1
2013,420,334822027389,1,3
2012,420,310211186225,2,10
2013,420,334824815521,1,1
2013,441,338544183609,2,1
2014,420,409538388725,1,3
2015,420,471986969261,2,9
2014,420,442137228069,2,6
2016,420,548688480581,2,1
2016,420,548922683669,2,1
2013,420,380572485377,2,9
2015,499,469104040773,2,9
2016,420,551445943129,2,1
2012,420,309726051257,2,9
2013,420,337930794569,1,9
2013,441,338457751517,2,9
2012,411,309976983137,2,6
2014,411,392159961969,1,3
2013,411,380288095913,2,6
2016,420,548423608041,2,1
2015,420,472388460269,2,9
2016,420,550288868349,2,1
2013,499,370894879205,2,9
2013,441,340596248761,2,9
2014,420,441836109813,2,9
2013,420,338351802501,1,9
2014,420,442170685653,2,6
2014,420,407068103773,1,3
2012,420,276837246185,1,3
2014,420,406674977161,1,6
2014,499,416787531925,2,9
2013,441,341245883517,2,9
2014,420,405821808769,1,9
2012,441,276586314305,1,9
2014,420,404620123877,1,6
2013,411,331958615825,1,9
2012,441,276708992113,1,19
2014,411,419018037525,2,6
2014,420,406535570561,1,10
2013,420,337928006437,1,6
2012,420,309765085105,2,6
2017,441,560440456961,1,1
2013,420,383173812533,2,6
2013,420,378994402665,2,3
2014,420,441593542329,2,3
2014,420,407051374981,1,9
2012,420,310213974357,2,6
2017,441,563811308549,1,1
2013,420,379078046625,2,9
2016,420,539733000597,2,1
2016,420,548841827841,2,1
2012,411,307049444537,2,6
2013,420,337925218305,1,6
2016,420,549101124117,2,1
2014,499,416531023781,2,1
2015,411,462688549041,1,1
2016,420,546806491481,2,1
2013,411,332195607045,1,6
2013,441,340211486545,2,9
2016,420,551044452121,2,1
2012,441,277782422933,1,19
2016,420,544626172257,2,1
2009,83,50636097025,2,19
2015,420,471713732325,2,9
2015,499,469090100113,2,9
2015,420,463324243137,1,9
2017,411,555725725749,1,1
2016,420,540703270533,2,1
2014,420,406549511221,1,9
2016,420,547960778129,2,1
2016,420,562099395501,2,1
2015,420,474055763205,2,1
2012,420,275309349849,1,6
2014,420,407595060721,1,9
2016,420,549460793145,2,1
2015,411,462989667297,1,9
2014,420,407734467321,1,3
2013,441,323011500237,1,9
2013,420,343097203165,1,9
2012,499,314446358733,2,10
2012,420,310370109749,2,6
2015,411,471197927905,2,9
2017,441,559601229229,1,1
2008,83,43582123065,2,9
2015,420,476718429265,2,20
2014,420,407174052789,1,9
2014,420,407397103349,1,3
2016,420,564820612333,2,1
2013,420,338703107133,1,6
2014,441,414746619301,2,9
2015,420,473322484489,2,1
2012,420,274531461021,1,9
2010,83,206166464381,2,10
2014,420,405478868533,1,9
2013,420,382761168997,2,9
2015,420,463667183373,1,6
2012,441,278175549545,1,9
2012,420,274718265865,1,10
2014,441,413374858357,2,9
2012,441,278292651089,1,10
2014,420,441875143661,2,6
2014,420,442903964369,2,6
2016,420,546823220273,2,1
2016,420,551036087725,2,1
2013,420,380580849773,2,3
2016,420,545799975829,2,1
2016,420,551970111945,2,1
2017,411,555366056721,1,1
2017,441,559559407249,1,1
2014,420,444688368849,2,9
2013,411,332089658029,1,5
2012,420,269016535925,1,3
2014,441,413893450909,2,9
2013,420,381088289797,2,9
2016,420,549148522361,2,1
2014,420,405972367897,1,6
2013,411,378102200425,2,6
2014,411,445338003605,2,6
2015,420,471214656697,2,1
2013,420,334847120577,1,10
2015,420,470935843497,2,9
2012,420,275769391629,1,6
2015,420,471931206621,2,1
2015,499,469062218793,2,9
2013,420,383171024401,2,9
2015,420,471791800021,2,9
2014,420,441164170001,2,6
2013,420,336394533837,1,9
2012,420,309533670149,2,9
2015,420,473618026481,2,9
2013,420,336439143949,1,6
2013,420,336441932081,1,1
2015,420,472070613221,2,1
2016,420,544341782793,2,1
2012,420,311089447805,2,9
2012,420,311092235937,2,20
2016,420,550049088997,2,1
2014,420,442934633821,2,3
2013,420,380076197881,2,9
2014,420,405573665021,1,3
2015,420,474069703865,2,1
2013,420,338365743161,1,6
2012,441,278167185149,1,1
2014,420,406552299353,1,3
2014,420,405520690513,1,6
2013,441,339341589361,2,1
2013,420,336637101321,1,3
2012,441,267338080461,1,9
2013,411,372854936001,2,9
2013,441,340283977977,2,9
2015,420,472078977617,2,9
2014,420,441141864945,2,1
2014,420,442901176237,2,9
2014,420,406170325269,1,9
2016,420,548016540769,2,1
2013,441,340345316881,2,9
2014,420,406630367049,1,6
2013,420,379560393461,2,3
2013,420,336402898233,1,6
2015,420,476941479825,2,9
2010,83,190881924757,1,9
2014,420,406900815853,1,9
2014,420,405250241709,1,6
2012,441,278005473493,1,19
2015,420,470938631629,2,9
2013,441,340219850941,2,9
2012,420,274534249153,1,9
2014,420,441824957285,2,9
2013,420,379133809265,2,9
2014,420,405121987637,1,3
2016,420,548008176373,2,1
2013,420,380028799637,2,6
2012,420,274629045641,1,6
2014,420,405406377101,1,10
2015,420,473325272621,2,1
2016,420,548892014217,2,1
2016,420,549123429173,2,1
2016,420,547634566685,2,1
2012,420,277743389085,1,6
2016,420,550330690329,2,10
2013,441,340599036893,2,9
2012,411,272710810825,1,6
2013,420,379563181593,2,9
2016,420,548641082337,2,1
2016,420,549920834925,2,1
2012,420,309728839389,2,10
2013,420,335990254697,1,9
2013,420,339065564293,1,6
2012,420,309907279837,2,9
2016,420,547305567109,2,1
2015,411,471379156485,2,1
2012,441,276594678701,1,1
2013,420,380502782077,2,9
2015,499,469120769565,2,9
2014,411,446358459917,2,6
2014,420,405975156029,1,3
2014,420,406903603985,1,9
2016,420,551507282033,2,1
2014,420,442296151593,2,9
2017,411,554761032077,1,1
2012,420,272593709281,1,9
2014,420,406909180249,1,9
2017,411,555301929685,1,1
2013,420,338533031081,1,9
2015,420,470941419761,2,1
2012,420,272925496989,1,9
2013,420,379373588617,2,6
2013,420,378991614533,2,6
2016,420,551565832805,2,1
2014,420,406967731021,1,3
2013,411,372852147869,2,5
2009,83,12260248177,2,19
2016,420,548933836197,2,1
2014,420,407717738529,1,9
2015,420,473328060753,2,1
2012,420,272596497413,1,10
2012,420,309536458281,2,9
2017,411,558196010701,1,1
2016,420,540736728117,2,1
2012,420,268272104681,1,9
2014,420,404912877737,1,3
2016,420,547319507769,2,1
2013,441,338979132201,2,9
2013,420,336450296477,1,1
2013,420,336447508345,1,9
2015,420,471217444829,2,1
2014,499,416478049273,2,10
2016,420,549943139981,2,1
2013,420,339096233745,1,9
2015,420,464921842773,1,1
2012,420,309910067969,2,9
2016,420,544821341497,2,1
2014,499,416784743793,2,9
2013,420,380131960521,2,9
2014,420,409530024329,1,9
2015,411,471195139773,2,1
2015,420,464840986945,1,9
2013,441,340356469409,2,9
2017,411,558340993565,1,1
2015,420,471557596933,2,1
2015,411,462875353885,1,1
2013,420,337933582701,1,3
2013,441,341047926145,2,9
2016,420,548080667805,2,1
2016,411,520124068241,2,1
2012,411,276338170557,1,9
2014,420,407639670833,1,6
2013,420,337936370833,1,6
2012,411,309698169937,2,6
2013,420,336352711857,1,9
2013,420,336355499989,1,1
2015,420,471172834717,2,1
2015,420,472187714765,2,1
2017,441,560365177397,1,1
2017,411,562612411789,1,1
2016,411,512501315353,1,1
2014,499,416539388177,2,1
2016,411,537641901597,2,1
2012,420,273845580549,1,3
2016,420,544364087849,2,1
2011,83,238915862853,2,1
2017,411,554699693173,1,1
2016,420,549137369833,2,1
2014,420,441624211781,2,9
2013,411,375893999881,2,6
2010,83,204256593961,2,10
2017,441,572694297101,1,1
2015,420,467091009469,1,6
2015,420,473796466929,2,9
2013,420,337958675889,1,6
2009,83,167626115745,2,9
2014,420,406939849701,1,9
2015,420,471733249249,2,9
2013,441,339676165201,2,10
2012,420,309912856101,2,6
2013,420,380505570209,2,9
2012,441,268581587333,1,1
2014,420,406173113401,1,9
2014,420,406175901533,1,9
2008,83,13375500977,2,9
2015,420,471220232961,2,10
2015,420,463346548193,1,9
2013,411,337125024421,1,9
2013,499,336006983489,1,9
2016,420,548022117033,2,1
2016,420,550107639769,2,1
2016,420,547640142949,2,1
2015,420,471920054093,2,1
2015,420,472798315673,2,1
