,categorias,descricao_curso,descricao_raca,descricao_civil,descricao_situacao
1,E,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
2,D,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
3,E,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
4,E,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
5,E,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
6,E,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
7,E,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
8,E,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
9,E,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
10,E,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
12,E,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
13,E,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
14,E,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
15,E,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
16,E,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
17,B,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
18,C,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
19,E,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
20,E,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
21,E,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
22,E,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
23,C,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
24,E,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
25,E,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
26,E,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
27,E,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
28,E,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
29,E,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
30,C,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
31,C,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
32,D,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
33,E,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
35,E,"Técnico de Nível Médio em Segurança do Trabalho, na Forma Subsequente [2012] - Campus EaD (ETEC)",Parda,Solteiro(a),Evasão
